"","X","city","latd","longd","elevation_m","elevation_ft","population_total","area_total_sq_mi","area_land_sq_mi","area_water_sq_mi","area_total_km2","area_land_km2","area_water_km2","area_water_percent"
"21",20,"Atherton",37.4586111111111,-122.2,18,59,6914,5.049,5.017,0.032,13.076,12.993,0.082,0.63
"22",21,"Atwater",37.3477777777778,-120.609166666667,46,151,28168,6.096,6.087,0.009,15.788,15.766,0.022,0.14
"23",22,"Auburn",38.8986111111111,-121.074444444444,374,1227,13330,7.166,7.138,0.028,18.56,18.488,0.071,0.38
"24",23,"Avalon",33.3408333333333,-118.327777777778,9,30,3728,2.937,2.935,0.002,7.607,7.602,0.005,0.07
"25",24,"Avenal",36.0041666666667,-120.128888888889,246,807,13239,19.422,19.422,0,50.302,50.302,0,0
"26",25,"Azusa",34.1305555555556,-117.906944444444,186,610,46361,9.669,9.656,0.013,25.042,25.01,0.032,0.13
"27",26,"Bakersfield",35.3666666666667,-119.016666666667,NA,404,347483,143.609,142.164,1.445,371.946,368.204,3.742,1.01
"28",27,"BaldwinPark",34.0827777777778,-117.971666666667,114,374,75390,6.786,6.631,0.155,17.575,17.174,0.4,2.28
"29",28,"Banning",33.9316666666667,-116.8975,716,2349,29603,23.099,23.099,0,59.826,59.826,0,0
"30",29,"Barstow",34.9,-117.016666666667,664,2178,22639,41.394,41.385,0.009,107.209,107.186,0.023,0.02
"31",30,"Beaumont",33.9241666666667,-116.973611111111,796,2612,36877,30.926,30.912,0.014,80.098,80.062,0.036,0.04
"32",31,"Bell",33.9833333333333,-118.183333333333,43,141,35477,2.62,2.501,0.119,6.783,6.476,0.307,4.53
"33",32,"Bellflower",33.8880555555556,-118.1275,22,71,76616,6.17,6.117,0.053,15.981,15.843,0.138,0.86
"34",33,"BellGardens",33.9680555555556,-118.156111111111,37,121,42072,2.463,2.459,0.004,6.379,6.368,0.012,0.18
"35",34,"Belmont",37.5180555555556,-122.291666666667,13,43,25835,4.63,4.621,0.009,11.992,11.97,0.022,0.19
"36",35,"Belvedere",37.8727777777778,-122.464444444444,11,36,2068,2.406,0.519,1.887,6.234,1.345,4.889,78.42
"37",36,"Benicia",38.0633333333333,-122.156111111111,8,26,26997,15.72,12.929,2.791,40.714,33.486,7.229,17.75
"38",37,"Berkeley",37.8716666666667,-122.272777777778,200,660,112580,17.696,10.47,7.226,45.833,27.118,18.716,40.83
"39",38,"BeverlyHills",34.0730555555556,-118.399444444444,79,259,34290,5.71,5.708,0.002,14.79,14.784,0.006,0.04
"40",39,"BigBearLake",34.2413888888889,-116.903333333333,2058,6752,5019,6.534,6.346,0.188,16.923,16.435,0.488,2.88
"41",40,"Biggs",39.4138888888889,-121.710277777778,30,98,1707,0.636,0.636,0,1.646,1.646,0,0
"42",41,"Bishop",37.3635,-118.3951,NA,4150,3879,1.911,1.864,0.047,4.949,4.827,0.122,2.5
"43",42,"BlueLake",40.8827777777778,-123.983888888889,40,131,1253,0.622,0.592,0.03,1.61,1.533,0.077,4.8
"44",43,"Blythe",33.6102777777778,-114.596388888889,83,272,20817,26.972,26.189,0.783,69.855,67.828,2.027,2.9
"45",44,"Bradbury",34.1494444444444,-117.974444444444,206,676,1048,1.958,1.957,0.001,5.073,5.07,0.003,0.06
"46",45,"Brawley",32.9786111111111,-115.530277777778,-34,-112,24953,7.682,7.682,0,19.895,19.895,0,0
"47",46,"Brea",33.9233333333333,-117.888888888889,110,361,39282,12.109,12.078,0.031,31.363,31.283,0.08,0.26
"48",47,"Brentwood",37.9319444444444,-121.695833333333,NA,79,51481,14.805,14.786,0.019,38.345,38.295,0.049,0.13
"49",48,"Brisbane",37.6808333333333,-122.419166666667,33,108,4282,20.077,3.096,16.981,51.999,8.017,43.981,84.58
"50",49,"Buellton",34.6141666666667,-120.193888888889,109,358,4828,1.583,1.582,0.001,4.099,4.098,0.002,0.04
"51",50,"BuenaPark",33.8561111111111,-118.004166666667,23,75,80530,10.553,10.524,0.029,27.332,27.257,0.075,0.28
"52",51,"Burbank",34.1802777777778,-118.328333333333,185,607,103340,17.379,17.341,0.038,45.011,44.913,0.098,0.22
"53",52,"Burlingame",37.5833333333333,-122.363611111111,12,39,28806,6.057,4.406,1.651,15.686,11.411,4.275,27.25
"54",53,"Calabasas",34.1383333333333,-118.660833333333,243,5,23058,13.3,13.249,0.051,34.4,34.27,0.131,0.38
"55",54,"Calexico",32.6788888888889,-115.498888888889,NA,3,38572,8.391,8.391,0,21.733,21.733,0,0
"56",55,"CaliforniaCity",35.1258333333333,-117.985833333333,733,2405,14120,203.631,203.523,0.108,527.401,527.122,0.279,0.05
"57",56,"Calimesa",33.9880555555556,-117.043055555556,729,2392,7879,14.847,14.847,0,38.454,38.454,0,0
"58",57,"Calipatria",33.1255555555556,-115.514166666667,NA,-180,7705,3.716,3.716,0,9.624,9.624,0,0
"59",58,"Calistoga",38.5813888888889,-122.582777777778,106,348,5155,2.613,2.595,0.018,6.769,6.722,0.047,0.7
"60",59,"Camarillo",34.2333333333333,-119.033333333333,54,177,65201,19.543,19.528,0.015,50.617,50.577,0.04,0.08
"61",60,"Campbell",37.2838888888889,-121.955,60,197,39349,5.886,5.798,0.088,15.245,15.017,0.228,1.49
"62",61,"CanyonLake",33.6841666666667,-117.255555555556,422,1385,10561,4.671,3.928,0.743,12.099,10.173,1.926,15.92
"63",62,"Capitola",36.9763888888889,-121.954722222222,4,13,9918,1.676,1.593,0.083,4.34,4.126,0.214,4.92
"64",63,"Carlsbad",33.1219444444444,-117.296944444444,16,52,105328,39.11,37.722,1.388,101.295,97.699,3.596,3.55
"65",64,"CarmelbytheSea",36.5552777777778,-121.923333333333,NA,NA,3722,1.08,1.08,0,2.798,2.798,0,0
"66",65,"Carpinteria",34.3991666666667,-119.516388888889,10,33,13040,9.272,2.586,6.686,24.012,6.697,17.315,72.11
"67",66,"Carson",33.8397222222222,-118.259722222222,8.2,27,91714,18.968,18.724,0.244,49.127,48.495,0.631,1.29
"68",67,"CathedralCity",33.8077777777778,-116.464722222222,100,328,51200,21.756,21.499,0.257,56.349,55.683,0.666,1.18
"69",68,"Ceres",37.6013888888889,-120.957222222222,28,92,45417,8.019,8.011,0.008,20.771,20.749,0.022,0.1
"70",69,"Cerritos",33.8683333333333,-118.0675,14,34,49041,8.856,8.725,0.131,22.937,22.598,0.339,1.48
"71",70,"Chico",39.74,-121.835555555556,74,245,86187,33.095,32.923,0.172,85.716,85.271,0.446,0.52
"72",71,"Chino",34.0177777777778,-117.69,222,728,77983,29.652,29.639,0.013,76.799,76.766,0.033,0.04
"73",72,"ChinoHills",33.9752777777778,-117.723055555556,365,1070,75655,44.749,44.681,0.068,115.899,115.723,0.175,0.15
"74",73,"Chowchilla",37.1166666666667,-120.266666666667,73,240,18720,7.661,7.661,0,19.842,19.842,0,0
"75",74,"ChulaVista",32.6277777777778,-117.048055555556,21,69,243916,52.094,49.631,2.463,134.925,128.545,6.38,4.73
"76",75,"CitrusHeights",38.7,-121.283333333333,50,164,83301,14.228,14.228,0,36.851,36.851,0,0
"77",76,"Claremont",34.11,-117.719722222222,NA,NA,34926,13.486,13.348,0.138,34.93,34.571,0.358,1.03
"78",77,"Clayton",37.9411111111111,-121.935833333333,120,394,10897,3.836,3.836,0,9.935,9.935,0,0
"79",78,"Clearlake",38.9583333333333,-122.626388888889,432,1417,15250,10.581,10.129,0.452,27.404,26.234,1.17,4.27
"80",79,"Cloverdale",38.7991666666667,-123.017222222222,NA,335,8618,2.648,2.648,0,6.857,6.857,0,0
"81",80,"Clovis",36.8252777777778,-119.703055555556,110,361,101314,23.278,23.278,0,60.289,60.289,0,0
"82",81,"Coachella",33.6794444444444,-116.174444444444,-20.74,-66,40704,28.95,28.95,0,74.981,74.981,0,0
"83",82,"Coalinga",36.1397222222222,-120.360277777778,205,673,13380,6.15,6.119,0.031,15.927,15.847,0.08,0.5
"84",83,"Colfax",39.0972222222222,-120.953888888889,739,2425,1963,1.407,1.407,0,3.645,3.645,0,0
"85",84,"Colma",37.6788888888889,-122.455555555556,37,121,1792,1.909,1.909,0,4.945,4.945,0,0
"86",85,"Colton",34.065,-117.321666666667,306,1004,52154,16.039,15.324,0.715,41.541,39.689,1.852,4.46
"87",86,"Colusa",39.2144444444444,-122.009444444444,16,52,5971,1.834,1.834,0,4.751,4.751,0,0
"88",87,"Commerce",34.0005555555556,-118.154722222222,43,141,12823,6.538,6.537,0.001,16.933,16.93,0.003,0.02
"89",88,"Compton",33.8966666666667,-118.225,21,69,96455,10.116,10.012,0.104,26.202,25.932,0.27,1.03
"90",89,"Concord",37.9780555555556,-122.031111111111,26,85.3,122067,30.546,30.546,0,79.114,79.114,0,0
"91",90,"Corcoran",36.0980555555556,-119.560277777778,63,207,25515,7.467,7.467,0,19.338,19.338,0,0
"92",91,"Corning",39.9261111111111,-122.180555555556,84,276,17382,3.55,3.55,0,9.193,9.193,0,0
"93",92,"Corona",33.8666666666667,-117.566666666667,206,678,158391,38.93,38.825,0.105,100.829,100.558,0.272,0.27
"94",93,"Coronado",32.6780555555556,-117.1725,6,20,24697,32.666,7.931,24.735,84.603,20.541,64.062,75.72
"95",94,"CorteMadera",37.9255555555556,-122.5275,12,39,9253,4.406,3.164,1.242,11.41,8.193,3.216,28.19
"96",95,"CostaMesa",33.665,-117.912222222222,30,98,109960,15.7,15.654,0.046,40.662,40.543,0.119,0.29
"97",96,"Cotati",38.3277777777778,-122.709166666667,34,112,7310,1.883,1.88,0.003,4.877,4.869,0.008,0.17
"98",97,"Covina",34.0916666666667,-117.879166666667,170,558,47796,7.041,7.026,0.015,18.236,18.196,0.039,0.22
"99",98,"CrescentCity",41.7558333333333,-124.201666666667,NA,43,7643,2.415,1.963,0.452,6.255,5.085,1.17,18.7
"100",99,"Cudahy",33.9641666666667,-118.1825,37,121,23805,1.226,1.175,0.051,3.175,3.043,0.132,4.15
"101",100,"CulverCity",34.0077777777778,-118.400833333333,29,95,38883,5.139,5.111,0.028,13.31,13.238,0.072,0.54
"102",101,"Cupertino",37.3175,-122.041944444444,72,236,58302,11.257,11.256,0.001,29.156,29.153,0.003,0.01
"103",102,"Cypress",33.8183333333333,-118.039166666667,12,39,47802,6.59,6.581,0.009,17.069,17.045,0.024,0.14
"104",103,"DalyCity",37.6863888888889,-122.468333333333,57,187,101123,7.664,7.664,0,19.849,19.849,0,0
"105",104,"DanaPoint",33.4672222222222,-117.698055555556,44,144,33351,29.484,6.497,22.987,76.364,16.828,59.536,77.96
"106",105,"Danville",37.8216666666667,-122,109,358,42039,18.028,18.028,0,46.693,46.693,0,0
"107",106,"Davis",38.5538888888889,-121.738055555556,16,52,65622,9.919,9.887,0.032,25.69,25.608,0.082,0.32
"108",107,"Delano",35.7688888888889,-119.246944444444,96,315,53819,14.355,14.303,0.052,37.18,37.044,0.135,0.36
"109",108,"DelMar",32.955,-117.263888888889,34,112,4161,1.777,1.707,0.07,4.602,4.421,0.181,3.94
"110",109,"DelReyOaks",36.5933333333333,-121.835,25,82,1624,0.483,0.481,0.002,1.251,1.246,0.005,0.42
"111",110,"DesertHotSprings",33.9611111111111,-116.508055555556,328,1076,25938,23.642,23.615,0.027,61.233,61.164,0.069,0.11
"112",111,"DiamondBar",34.0016666666667,-117.820833333333,212,696,55544,14.885,14.88,0.005,38.552,38.538,0.014,0.04
"113",112,"Dinuba",36.545,-119.389166666667,102,345,21453,6.47,6.47,0,16.758,16.758,0,0
"114",113,"Dixon",38.4491666666667,-121.826944444444,19,62,18351,7.092,6.996,0.096,18.368,18.118,0.249,1.36
"115",114,"Dorris",41.965,-121.918888888889,1294,4245,939,0.718,0.702,0.016,1.86,1.819,0.041,2.19
"116",115,"DosPalos",36.9833333333333,-120.633333333333,362,118,4950,1.35,1.35,0,3.496,3.496,0,0
"117",116,"Downey",33.9380555555556,-118.130833333333,36,118,111772,12.568,12.408,0.16,32.551,32.137,0.414,1.27
"118",117,"Duarte",34.1402777777778,-117.961666666667,156,512,21321,6.69,6.69,0,17.328,17.328,0,0
"119",118,"Dublin",37.7022222222222,-121.935833333333,NA,367,49890,14.912,14.908,0.004,38.622,38.611,0.011,0.03
"120",119,"Dunsmuir",41.2216666666667,-122.273055555556,695,2280,1650,1.735,1.698,0.037,4.494,4.398,0.096,2.14
"121",120,"EastPaloAlto",37.4669444444444,-122.139722222222,6,20,28155,2.612,2.505,0.107,6.766,6.488,0.278,4.11
"122",121,"Eastvale",33.9630555555556,-117.563888888889,NA,627,53668,11.445,11.405,0.04,29.644,29.539,0.104,0.35
"123",122,"ElCajon",32.7983333333333,-116.96,133,436,99478,14.433,14.433,0,37.381,37.381,0,0
"124",123,"ElCentro",32.8,-115.566666666667,-12,-39,42598,11.099,11.081,0.018,28.746,28.7,0.046,0.16
"125",124,"ElCerrito",37.9158333333333,-122.311666666667,NA,69,23549,3.688,3.688,0,9.551,9.551,0,0
"126",125,"ElkGrove",38.4383333333333,-121.381944444444,14,45,153015,42.239,42.19,0.049,109.398,109.271,0.127,0.12
"127",126,"ElMonte",34.0733333333333,-118.0275,91,299,113475,9.648,9.562,0.086,24.988,24.766,0.222,0.89
"128",127,"ElSegundo",33.9213888888889,-118.406111111111,35,115,16654,5.465,5.463,0.002,14.152,14.148,0.004,0.03
"129",128,"Emeryville",37.8313888888889,-122.285277777778,7,23,10080,2.01,1.246,0.764,5.206,3.226,1.979,38.02
"130",129,"Encinitas",33.0444444444444,-117.271666666667,25,82,59518,19.99,18.812,1.178,51.772,48.722,3.05,5.89
"131",130,"Escalon",37.7916666666667,-120.991666666667,36,118,7266,2.368,2.301,0.067,6.134,5.959,0.175,2.85
"132",131,"Escondido",33.1247222222222,-117.080833333333,197,646,143911,36.989,36.813,0.176,95.801,95.345,0.456,0.48
"133",132,"Etna",41.4572222222222,-122.896944444444,895,2936,737,0.759,0.758,0.001,1.965,1.962,0.002,0.12
"134",133,"Eureka",40.8019444444444,-124.163611111111,NA,39,27191,14.454,9.384,5.07,37.435,24.305,13.13,35.07
"135",134,"Exeter",36.2941666666667,-119.142777777778,119,390,10334,2.463,2.463,0,6.379,6.379,0,0
"136",135,"Fairfax",37.9872222222222,-122.588888888889,35,115,7441,2.204,2.204,0,5.707,5.707,0,0
"137",136,"Fairfield",38.2577777777778,-122.054166666667,4,13,108321,37.635,34.39,3.245,97.475,94.839,2.635,5.65
"138",137,"Farmersville",36.3011111111111,-119.2075,109,358,10588,2.258,2.258,0,5.849,5.849,0,0
"139",138,"Ferndale",40.5766666666667,-124.263333333333,17,56,1371,1.027,1.027,0,2.659,2.659,0,0
"140",139,"Fillmore",34.4013888888889,-118.917777777778,139,456,15002,3.365,3.364,0.001,8.715,8.712,0.003,0.03
"141",140,"Firebaugh",36.8588888888889,-120.456111111111,46,151,7549,3.519,3.462,0.057,9.114,8.967,0.148,1.62
"142",141,"Folsom",38.6722222222222,-121.157777777778,67,220,72203,24.301,21.945,2.356,62.939,56.838,6.101,9.69
"143",142,"Fontana",34.1,-117.466666666667,377,1237,201812,42.432,42.432,3,109.899,109.899,6,3
"144",143,"FortBragg",39.4458333333333,-123.805277777778,26,85,7273,2.8,2.7,NA,7.2,7.1,0.1,NA
"145",144,"FortJones",41.6072222222222,-122.841944444444,842,2762,839,0.602,0.602,0,1.56,1.56,0,0
"146",145,"Fortuna",40.5980555555556,-124.157222222222,20,66,11926,4.845,4.845,0,12.549,12.549,0,0
"147",146,"FosterCity",37.5513888888889,-122.266388888889,2,7,30567,19.841,3.756,16.085,51.388,9.729,41.659,81.07
"148",147,"FountainValley",33.7086111111111,-117.956388888889,10,33,55313,9.031,9.018,0.013,23.391,23.357,0.034,0.14
"149",148,"Fowler",36.6333333333333,-119.683333333333,94,308,5570,2.531,2.531,0,6.556,6.556,0,0
"150",149,"Fremont",37.5483333333333,-121.988611111111,71,218,220000,87.61,77.459,10.151,226.91,200.618,26.292,11.59
"151",150,"Fresno",36.75,-119.766666666667,NA,308,509039,112.308,111.957,0.351,290.877,289.967,0.91,0.31
"152",151,"Fullerton",33.88,-117.928611111111,50,164,135161,22.36,22.353,0.011,57.921,57.893,0.027,0.05
"153",152,"Galt",38.2608333333333,-121.303055555556,16,47,23647,5.944,5.931,0.013,15.397,15.362,0.035,0.23
"154",153,"Gardena",33.8936111111111,-118.307777777778,15,49,58829,5.865,5.829,0.036,15.191,15.097,0.094,0.62
"155",154,"GardenGrove",33.7788888888889,-117.960277777778,27,89,170883,17.959,17.941,0.018,46.513,46.467,0.046,0.1
"156",155,"Gilroy",37.0119444444444,-121.58,61,200,48821,16.156,16.146,0.01,41.845,41.819,0.027,0.06
"157",156,"Glendale",34.1708333333333,-118.25,159,522,196021,30.583,30.453,0.13,79.212,78.874,0.338,0.43
"158",157,"Glendora",34.1308333333333,-117.854166666667,236,774,50073,19.558,19.393,0.165,50.655,50.228,0.427,0.84
"159",158,"Goleta",34.4405555555556,-119.813611111111,NA,20,29888,7.975,7.903,0.072,20.654,20.467,0.187,0.9
"160",159,"Gonzales",36.5066666666667,-121.444444444444,41,135,8187,1.959,1.921,0.038,5.075,4.976,0.098,1.93
"161",160,"GrandTerrace",34.0311111111111,-117.316666666667,324,1063,12040,3.502,3.502,0,9.07,9.07,0,0
"162",161,"GrassValley",39.2191666666667,-121.058333333333,735,2411,12860,4.743,4.743,0,12.285,12.285,0,0
"163",162,"Greenfield",36.3208333333333,-121.243888888889,88,289,16330,2.135,2.135,0,5.53,5.53,0,0
"164",163,"Gridley",39.3638888888889,-121.693611111111,29,95,6593,NA,2.07,0,NA,2.07,0,0
"165",164,"GroverBeach",35.1208333333333,-120.619444444444,19,62,13156,2.314,2.31,0.004,5.995,5.983,0.011,0.19
"166",165,"Guadalupe",34.9655555555556,-120.573055555556,26,85,7080,1.314,1.309,0.005,3.405,3.391,0.014,0.4
"167",166,"Gustine",37.2577777777778,-120.998888888889,30,98,5520,1.551,1.551,0,4.017,4.017,0,0
"168",167,"HalfMoonBay",37.4588888888889,-122.436944444444,22,72,11324,6.444,6.424,0.02,16.692,16.639,0.053,0.32
"169",168,"Hanford",36.3275,-119.645555555556,76,249,55283,16.589,16.589,0,42.966,42.966,0,0
"170",169,"HawaiianGardens",33.8286111111111,-118.073611111111,10,33,14254,0.956,0.946,0.01,2.477,2.45,0.027,1.09
"171",170,"Hawthorne",33.9172222222222,-118.348611111111,22,72,84293,6.092,6.081,0.011,15.779,15.75,0.029,0.18
"172",171,"Hayward",37.6688888888889,-122.080833333333,NA,105,149392,63.748,45.323,18.425,165.108,117.386,47.721,28.9
"173",172,"Healdsburg",38.6175,-122.866388888889,32,105,11254,4.464,4.457,0.007,11.561,11.543,0.018,0.15
"174",173,"Hemet",33.7419444444444,-116.983055555556,486,1594,78657,27.847,27.847,0,72.124,72.124,0,0
"175",174,"Hercules",38.0172222222222,-122.288611111111,24,79,24060,18.179,6.205,11.974,47.084,16.072,31.012,65.87
"176",175,"HermosaBeach",33.8663888888889,-118.399722222222,8,26,19506,1.427,1.427,0,3.695,3.695,0,0
"177",176,"Hesperia",34.4127777777778,-117.306111111111,971,3186,90173,73.209,73.096,0.113,189.61,189.316,0.294,0.15
"178",177,"HiddenHills",34.1675,-118.660833333333,328,1076,1856,1.689,1.689,0,4.373,4.373,0,0
"179",178,"Highland",34.1183333333333,-117.2025,399,1309,53014,18.89,18.755,0.135,48.924,48.575,0.349,0.71
"180",179,"Hillsborough",37.5602777777778,-122.356388888889,98,322,10825,6.19,6.19,0,16.031,16.031,0,0
"181",180,"Hollister",36.8472222222222,-121.398333333333,88,289,34928,7.29,7.29,0,18.88,18.88,0,0
"182",181,"Holtville",32.8111111111111,-115.380277777778,-3,-10,5939,1.153,1.148,0.005,2.986,2.974,0.012,0.4
"183",182,"Hughson",37.6030555555556,-120.866944444444,38,125,6640,1.815,1.815,0,4.701,4.701,0,0
"184",183,"HuntingtonBeach",33.6927777777778,-118.000277777778,12,39,197575,31.882,26.748,5.134,82.576,69.278,13.298,16.1
"185",184,"HuntingtonPark",33.9833333333333,-118.216666666667,52,171,58114,3.016,3.013,0.003,7.811,7.802,0.008,0.11
"186",185,"Huron",36.2027777777778,-120.103055555556,114,374,6754,1.591,1.591,0,4.121,4.121,0,0
"187",186,"ImperialBeach",32.5783333333333,-117.117222222222,21,69,26324,4.485,4.161,0.324,11.616,10.778,0.838,7.22
"188",187,"Imperial",32.8475,-115.569444444444,-18,-59,14758,5.856,5.856,0,15.168,15.168,0,0
"189",188,"IndianWells",33.7158333333333,-116.341111111111,27,89,4958,14.591,14.321,0.27,37.79,37.091,0.699,1.85
"190",189,"Indio",33.72,-116.231944444444,-4,-13,76036,29.189,29.181,0.008,75.6,75.579,0.021,0.03
"191",190,"Industry",34.0166666666667,-117.95,98,322,219,12.064,11.785,0.279,31.245,30.522,0.723,2.31
"192",191,"Inglewood",33.9575,-118.346111111111,40,131,109673,9.093,9.068,0.025,23.549,23.486,0.064,0.27
"193",192,"Ione",38.3527777777778,-120.932777777778,91,299,7918,4.78,4.765,0.015,12.379,12.341,0.039,0.31
"194",193,"Irvine",33.6841666666667,-117.7925,17,45,215529,66.454,66.106,0.348,172.115,171.214,0.901,0.52
"195",194,"Irwindale",34.1166666666667,-117.966666666667,143,469,1422,9.613,8.826,0.787,24.897,22.859,2.038,8.19
"196",195,"Isleton",38.1619444444444,-121.609166666667,3,10,804,0.492,0.44,0.052,1.272,1.139,0.134,10.5
"197",196,"Jackson",38.3488888888889,-120.774166666667,371,1217,4651,3.73,3.73,0,9.66,9.66,0,0
"198",197,"JurupaValley",33.9994444444444,-117.475277777778,NA,NA,97496,43.5,43.3,0.2,112.7,112.1,0.6,NA
"199",198,"Kerman",36.7236111111111,-120.06,67,220,17303,3.233,3.233,0,8.372,8.372,0,0
"200",199,"KingCity",36.2127777777778,-121.126111111111,102,335,12874,3.984,3.845,0.139,10.317,9.958,0.36,3.49
"201",200,"Kingsburg",36.5138888888889,-119.553888888889,92,302,11382,2.828,2.828,0,7.325,7.325,0,0
"202",201,"LaCaadaFlintridge",34.207721,-118.206979,NA,NA,20246,8.645,8.628,0.017,22.391,22.347,0.044,0.2
"203",202,"Lafayette",37.8858333333333,-122.118055555556,97.5,320,24285,15.387,15.221,0.166,39.853,39.422,0.431,1.08
"204",203,"LagunaBeach",33.5313888888889,-117.769166666667,6,20,22723,9.821,8.85,0.971,25.435,22.921,2.515,9.89
"205",204,"LagunaHills",33.5997222222222,-117.699444444444,113,371,30344,6.695,6.67,0.025,17.34,17.276,0.064,0.37
"206",205,"LagunaNiguel",33.5319444444444,-117.7025,121,397,62979,14.885,14.833,0.052,38.551,38.418,0.134,0.35
"207",206,"LagunaWoods",33.6091666666667,-117.732777777778,116,381,18747,3.115,3.115,0,8.07,8.069,0,0.01
"208",207,"LaHabra",33.9319444444444,-117.946111111111,91,299,60239,7.376,7.37,0.006,19.104,19.088,0.016,0.08
"209",208,"LaHabraHeights",33.9638888888889,-117.952777777778,225,738,5325,6.162,6.159,0.003,15.958,15.95,0.007,0.05
"210",209,"LakeElsinore",33.6813888888889,-117.345277777778,395,1306,51821,41.687,36.208,5.479,107.97,93.779,14.19,13.14
"211",210,"LakeForest",33.6416666666667,-117.690833333333,148,400,77264,17.902,17.816,0.086,46.366,46.143,0.223,0.48
"212",211,"Lakeport",39.0430555555556,-122.915833333333,413,1355,4753,3.198,3.058,0.14,8.284,7.92,0.364,4.39
"213",212,"Lakewood",33.8475,-118.12,14,46,80048,9.466,9.415,0.051,24.517,24.384,0.133,0.54
"214",213,"LaMesa",32.7713888888889,-117.022777777778,161,528,57065,9.116,9.076,0.04,23.612,23.507,0.104,0.44
"215",214,"LaMirada",33.9022222222222,-118.009722222222,59,194,48527,7.857,7.84,0.017,20.351,20.306,0.045,0.22
"216",215,"Lancaster",34.6833333333333,-118.15,719,2359,156633,94.547,94.276,0.271,244.876,244.175,0.701,0.29
"217",216,"LaPalma",33.8494444444444,-118.043888888889,14,46,15568,1.832,1.808,0.024,4.744,4.682,0.063,1.32
"218",217,"LaPuente",34.0325,-117.955277777778,107,351,39816,3.48,3.479,0.001,9.012,9.01,0.002,0.02
"219",218,"LaQuinta",33.6752777777778,-116.2975,0,NA,37467,35.551,35.117,0.434,92.078,90.954,1.124,1.22
"220",219,"Larkspur",37.9341666666667,-122.535277777778,NA,43,11926,3.243,3.027,0.216,8.399,7.84,0.56,6.66
"221",220,"Lathrop",37.8169444444444,-121.288611111111,7,20,18023,23.033,21.931,1.102,59.655,56.8,2.854,4.79
"222",221,"LaVerne",34.1144444444444,-117.771388888889,323,1060,31063,8.562,8.43,0.132,22.175,21.834,0.341,1.54
"223",222,"Lawndale",33.8866666666667,-118.353611111111,18,59,32769,1.974,1.974,0,5.113,5.113,0,0
"224",223,"LemonGrove",32.7413888888889,-117.031666666667,136,440,25320,3.88,3.88,0,10.05,10.05,0,0
"225",224,"Lemoore",36.3008333333333,-119.782777777778,70,230,25281,8.517,8.517,0,22.058,22.058,0,0
"226",225,"Lincoln",38.8872222222222,-121.296111111111,51,167,42819,20.13,20.106,0.024,52.137,52.075,0.062,0.12
"227",226,"Lindsay",36.2,-119.083333333333,118,387,11768,2.61,2.61,0,6.759,6.759,0,0
