"","age","gender","split","final"
"82",28,"M","01:14:04","02:32:15"
"83",32,"M","01:14:27","02:32:18"
"84",33,"M","01:15:59","02:32:27"
"85",25,"M","01:15:16","02:32:35"
"86",31,"M","01:12:43","02:32:36"
"87",29,"M","01:13:34","02:32:45"
"88",33,"M","01:12:57","02:32:54"
"89",26,"M","01:14:40","02:32:57"
"90",31,"M","01:15:02","02:33:15"
"91",29,"M","01:14:41","02:33:19"
"92",27,"M","01:15:06","02:33:24"
"93",34,"M","01:14:12","02:33:26"
"94",44,"M","01:15:40","02:33:30"
"95",36,"M","01:15:37","02:33:37"
"96",44,"M","01:16:08","02:33:45"
"97",26,"M","01:16:15","02:33:49"
"98",42,"M","01:15:33","02:33:53"
"99",36,"M","01:15:17","02:33:56"
"100",42,"M","01:15:37","02:33:59"
"101",35,"M","01:15:30","02:34:03"
"102",26,"M","01:12:56","02:34:05"
"103",26,"M","01:15:19","02:34:06"
"104",35,"W","01:14:29","02:34:11"
"105",28,"M","01:13:13","02:34:15"
"106",41,"M","01:16:56","02:34:18"
"107",25,"M","01:14:28","02:34:21"
"108",33,"M","01:13:30","02:34:31"
"109",25,"M","01:13:51","02:34:33"
"110",41,"M","01:15:41","02:34:37"
"111",36,"M","01:14:58","02:34:40"
"112",31,"M","01:13:32","02:34:41"
"113",24,"M","01:15:26","02:34:42"
"114",34,"M","01:15:19","02:34:57"
"115",36,"W","01:15:38","02:34:58"
"116",23,"M","01:15:09","02:35:01"
"117",35,"M","01:15:10","02:35:04"
"118",34,"M","01:14:00","02:35:05"
"119",34,"W","01:15:24","02:35:10"
"120",38,"M","01:12:39","02:35:10"
"121",26,"M","01:15:25","02:35:21"
"122",41,"M","01:17:40","02:35:27"
"123",27,"M","01:16:36","02:35:28"
"124",36,"W","01:15:19","02:35:28"
"125",35,"M","01:15:12","02:35:30"
"126",34,"M","01:14:15","02:35:33"
"127",24,"M","01:15:14","02:35:35"
"128",28,"M","01:15:55","02:35:46"
"129",28,"M","01:15:25","02:35:55"
"130",24,"M","01:14:33","02:35:57"
"131",34,"M","01:16:03","02:36:04"
"132",38,"M","01:15:09","02:36:05"
"133",31,"M","01:17:28","02:36:08"
"134",24,"M","01:18:45","02:36:09"
"135",38,"M","01:13:44","02:36:11"
"136",34,"M","01:17:16","02:36:16"
"137",32,"M","01:17:28","02:36:19"
"138",29,"M","01:16:53","02:36:33"
"139",27,"M","01:17:19","02:36:33"
"140",28,"M","01:16:59","02:36:35"
"141",35,"M","01:15:45","02:36:38"
"142",30,"M","01:16:33","02:36:42"
"143",31,"M","01:14:55","02:36:42"
"144",29,"M","01:18:40","02:36:42"
"145",33,"M","01:16:46","02:36:43"
"146",23,"M","01:14:12","02:36:44"
"147",37,"M","01:16:23","02:36:45"
"148",26,"M","01:18:07","02:36:49"
"149",24,"M","01:18:47","02:36:50"
"150",38,"M","01:10:04","02:36:50"
"151",33,"M","01:15:27","02:37:03"
"152",41,"M","01:18:19","02:37:05"
"153",26,"M","01:17:46","02:37:05"
"154",26,"M","01:17:20","02:37:20"
"155",45,"M","01:16:57","02:37:20"
"156",30,"M","01:16:27","02:37:23"
"157",36,"M","01:16:58","02:37:25"
"158",33,"M","01:13:59","02:37:32"
"159",33,"M","01:13:06","02:37:45"
"160",35,"M","01:17:31","02:37:53"
"161",40,"M","01:16:21","02:37:54"
"162",37,"M","01:10:10","02:37:56"
"163",34,"M","01:19:48","02:38:00"
"164",32,"M","01:15:30","02:38:01"
"165",35,"M","01:19:03","02:38:02"
"166",38,"M","01:17:28","02:38:12"
"167",32,"M","01:12:19","02:38:22"
"168",40,"M","01:17:41","02:38:29"
"169",26,"M","01:16:14","02:38:52"
"170",31,"M","01:17:42","02:38:54"
"171",22,"M","01:19:04","02:38:55"
"172",46,"M","01:14:53","02:38:59"
"173",26,"M","01:13:30","02:39:04"
"174",29,"M","01:20:33","02:39:07"
"175",28,"M","01:17:48","02:39:08"
"176",32,"M","01:17:30","02:39:12"
"177",31,"W","01:17:08","02:39:15"
"178",33,"M","01:16:54","02:39:19"
"179",27,"M","01:19:23","02:39:21"
"180",22,"M","01:17:25","02:39:29"
"181",30,"M","01:16:47","02:39:36"
"182",37,"M","01:15:40","02:39:44"
"183",26,"M","01:14:07","02:39:50"
"184",40,"M","01:18:24","02:39:51"
"185",44,"M","01:16:59","02:39:52"
"186",23,"M","01:18:46","02:39:56"
"187",40,"M","01:17:58","02:39:59"
"188",23,"M","01:18:15","02:39:59"
"189",40,"M","01:19:28","02:40:01"
"190",46,"M","01:15:09","02:40:03"
"191",32,"M","01:17:44","02:40:04"
"192",28,"M","01:21:02","02:40:05"
"193",27,"M","01:19:37","02:40:07"
"194",40,"M","01:19:01","02:40:09"
"195",33,"M","01:19:48","02:40:09"
"196",40,"M","01:17:47","02:40:11"
"197",23,"W","01:20:25","02:40:12"
"198",38,"M","01:19:53","02:40:15"
"199",35,"M","01:18:50","02:40:26"
"200",30,"M","01:18:52","02:40:31"
"201",33,"M","01:18:35","02:40:32"
"202",26,"M","01:16:02","02:40:41"
"203",24,"M","01:18:35","02:40:47"
"204",53,"M","01:15:11","02:40:49"
"205",37,"M","01:17:57","02:40:51"
"206",34,"M","01:17:42","02:40:53"
"207",31,"M","01:17:57","02:40:56"
"208",42,"M","01:20:09","02:41:00"
"209",41,"M","01:19:48","02:41:16"
"210",35,"W","01:18:19","02:41:16"
"211",44,"M","01:19:12","02:41:17"
"212",33,"M","01:14:57","02:41:17"
"213",36,"M","01:18:39","02:41:25"
"214",44,"M","01:19:34","02:41:26"
"215",34,"M","01:18:47","02:41:32"
"216",39,"M","01:14:44","02:41:33"
"217",30,"M","01:18:28","02:41:36"
"218",40,"M","01:18:15","02:41:59"
"219",32,"M","01:17:29","02:42:01"
"220",18,"W","01:18:03","02:42:06"
"221",40,"M","01:17:48","02:42:06"
"222",25,"M","01:19:00","02:42:08"
"223",31,"M","01:15:20","02:42:10"
"224",44,"M","01:19:47","02:42:10"
"225",34,"M","01:20:32","02:42:14"
"226",42,"M","01:18:48","02:42:14"
"227",27,"M","01:17:49","02:42:15"
"228",36,"M","01:20:06","02:42:19"
"229",27,"W","01:22:19","02:42:23"
"230",27,"M","01:17:49","02:42:27"
"231",27,"M","01:22:18","02:42:27"
"232",40,"M","01:20:40","02:42:33"
"233",35,"M","01:20:04","02:42:34"
"234",35,"M","01:18:06","02:42:35"
"235",32,"M","01:25:19","02:42:35"
"236",25,"M","01:20:04","02:42:36"
"237",38,"M","01:16:24","02:42:37"
"238",24,"M","01:16:21","02:42:38"
"239",29,"M","01:20:31","02:42:39"
"240",30,"M","01:18:09","02:42:41"
"241",27,"M","01:19:50","02:42:42"
"242",25,"M","01:20:50","02:42:42"
"243",40,"M","01:18:42","02:42:44"
"244",36,"M","01:21:25","02:42:46"
"245",33,"M","01:21:50","02:42:48"
"246",38,"M","01:19:13","02:42:50"
"247",38,"M","01:17:13","02:42:51"
"248",41,"M","01:19:56","02:42:54"
"249",29,"M","01:20:18","02:43:00"
"250",57,"M","01:19:05","02:43:06"
"251",44,"M","01:20:23","02:43:17"
"252",27,"M","01:15:19","02:43:18"
"253",52,"M","01:20:44","02:43:25"
"254",44,"M","01:20:41","02:43:30"
"255",40,"M","01:20:31","02:43:30"
"256",36,"M","01:20:03","02:43:32"
"257",32,"M","01:20:34","02:43:34"
"258",33,"M","01:18:50","02:43:34"
"259",27,"W","01:21:03","02:43:36"
"260",52,"M","01:19:26","02:43:37"
"261",30,"M","01:18:37","02:43:38"
"262",33,"W","01:18:51","02:43:40"
"263",41,"M","01:19:07","02:43:40"
"264",29,"M","01:19:48","02:43:41"
"265",35,"M","01:19:17","02:43:41"
"266",27,"M","01:18:22","02:43:43"
"267",29,"W","01:20:48","02:43:43"
"268",45,"M","01:18:03","02:43:48"
"269",32,"M","01:20:25","02:43:49"
"270",49,"M","01:20:02","02:43:55"
"271",34,"M","01:19:42","02:43:57"
"272",31,"M","01:17:36","02:44:03"
"273",39,"M","01:18:57","02:44:06"
"274",28,"M","01:18:41","02:44:10"
"275",24,"M","01:19:01","02:44:10"
"276",50,"M","01:19:53","02:44:13"
"277",25,"M","01:20:28","02:44:16"
"278",30,"M","01:17:20","02:44:16"
"279",33,"M","01:18:15","02:44:21"
"280",29,"M","01:21:31","02:44:22"
"281",48,"M","01:19:56","02:44:23"
"282",24,"M","01:15:31","02:44:29"
"283",28,"M","01:19:05","02:44:34"
"284",34,"M","01:18:30","02:44:36"
"285",24,"M","01:20:09","02:44:44"
"286",42,"M","01:20:31","02:44:47"
"287",24,"M","01:18:49","02:44:48"
"288",33,"M","01:21:02","02:44:51"
"289",24,"M","01:20:44","02:44:56"
"290",44,"M","01:22:46","02:45:00"
"291",32,"M","01:18:16","02:45:02"
"292",30,"W","01:20:55","02:45:02"
"293",37,"M","01:18:08","02:45:04"
"294",32,"M","01:18:44","02:45:08"
"295",31,"M","01:23:44","02:45:13"
"296",45,"M","01:21:13","02:45:14"
"297",27,"M","01:18:08","02:45:19"
"298",27,"M","01:22:22","02:45:23"
"299",27,"M","01:18:26","02:45:24"
"300",25,"M","01:18:01","02:45:25"
"301",49,"M","01:20:34","02:45:25"
"302",37,"M","01:19:36","02:45:27"
"303",39,"M","01:22:49","02:45:28"
"304",31,"M","01:19:50","02:45:35"
"305",32,"M","01:20:15","02:45:36"
"306",40,"M","01:19:07","02:45:41"
"307",31,"M","01:18:47","02:45:41"
"308",35,"M","01:20:56","02:45:42"
"309",36,"M","01:22:05","02:45:45"
"310",39,"M","01:22:37","02:45:46"
"311",34,"M","01:20:08","02:45:50"
"312",41,"M","01:20:12","02:45:54"
"313",22,"M","01:15:58","02:45:54"
"314",39,"M","01:20:40","02:45:56"
"315",43,"M","01:18:11","02:45:56"
"316",31,"M","01:22:00","02:45:57"
"317",32,"M","01:15:20","02:45:58"
"318",38,"M","01:19:30","02:45:59"
"319",28,"M","01:20:14","02:46:00"
"320",31,"M","01:21:43","02:46:00"
"321",29,"M","01:15:47","02:46:00"
"322",39,"M","01:19:16","02:46:12"
"323",36,"M","01:17:41","02:46:13"
"324",31,"M","01:20:34","02:46:20"
"325",33,"M","01:21:13","02:46:20"
"326",36,"M","01:22:47","02:46:26"
"327",41,"M","01:21:43","02:46:34"
"328",43,"M","01:20:14","02:46:36"
"329",35,"M","01:20:38","02:46:38"
"330",39,"W","01:21:00","02:46:46"
"331",32,"M","01:17:37","02:46:47"
"332",23,"M","01:13:40","02:46:47"
"333",30,"W","01:21:29","02:46:48"
"334",31,"M","01:23:43","02:46:48"
"335",23,"W","01:20:48","02:46:50"
"336",49,"M","01:22:17","02:46:51"
"337",36,"M","01:21:55","02:46:51"
"338",41,"M","01:18:34","02:46:52"
"339",42,"M","01:21:43","02:47:00"
"340",38,"M","01:22:23","02:47:00"
"341",38,"M","01:24:03","02:47:06"
"342",32,"M","01:17:41","02:47:14"
"343",27,"M","01:21:40","02:47:16"
"344",46,"M","01:20:30","02:47:22"
"345",41,"M","01:14:49","02:47:22"
"346",39,"M","01:22:40","02:47:25"
"347",40,"M","01:19:21","02:47:25"
"348",30,"M","01:21:36","02:47:28"
"349",25,"M","01:20:23","02:47:28"
"350",28,"M","01:23:24","02:47:31"
"351",27,"M","01:22:10","02:47:33"
"352",27,"M","01:14:52","02:47:34"
"353",37,"M","01:22:00","02:47:36"
"354",45,"M","01:22:52","02:47:37"
"355",41,"M","01:22:03","02:47:37"
"356",37,"M","01:18:08","02:47:37"
"357",29,"M","01:21:30","02:47:39"
"358",35,"M","01:22:21","02:47:40"
"359",40,"M","01:20:31","02:47:42"
"360",37,"M","01:18:52","02:47:44"
"361",39,"W","01:20:53","02:47:45"
"362",44,"M","01:23:37","02:47:48"
"363",37,"M","01:19:19","02:47:49"
"364",26,"M","01:24:09","02:47:50"
"365",44,"M","01:25:37","02:47:51"
"366",33,"M","01:20:43","02:47:51"
"367",31,"M","01:23:08","02:47:52"
"368",26,"M","01:24:51","02:47:59"
"369",37,"M","01:21:28","02:48:02"
"370",47,"M","01:23:27","02:48:03"
"371",29,"M","01:21:20","02:48:06"
"372",45,"M","01:23:08","02:48:07"
"373",40,"M","01:21:50","02:48:08"
"374",26,"M","01:21:57","02:48:09"
"375",29,"M","01:19:03","02:48:10"
"376",47,"M","01:23:24","02:48:11"
"377",32,"M","01:22:17","02:48:18"
"378",40,"M","01:22:19","02:48:18"
"379",40,"M","01:21:58","02:48:18"
"380",39,"M","01:19:58","02:48:20"
"381",28,"M","01:23:22","02:48:21"
"382",34,"M","01:17:36","02:48:24"
"383",38,"M","01:21:00","02:48:26"
"384",33,"M","01:20:37","02:48:26"
"385",56,"M","01:21:13","02:48:30"
"386",44,"M","01:22:10","02:48:31"
"387",31,"M","01:14:35","02:48:31"
"388",34,"M","01:25:35","02:48:34"
"389",43,"M","01:24:12","02:48:37"
"390",24,"M","01:21:09","02:48:42"
"391",36,"M","01:22:26","02:48:44"
"392",26,"M","01:17:09","02:48:45"
"393",45,"M","01:24:57","02:48:47"
"394",45,"M","01:23:34","02:48:48"
"395",25,"M","01:25:44","02:48:56"
"396",28,"M","01:18:38","02:48:58"
"397",35,"M","01:24:00","02:48:58"
"398",35,"M","01:22:50","02:49:00"
"399",38,"M","01:15:49","02:49:00"
"400",24,"M","01:22:35","02:49:02"
"401",37,"M","01:22:03","02:49:02"
"402",40,"M","01:22:38","02:49:02"
"403",36,"M","01:20:26","02:49:03"
"404",40,"M","01:22:57","02:49:07"
"405",34,"M","01:23:34","02:49:09"
"406",30,"M","01:23:59","02:49:10"
"407",33,"M","01:23:29","02:49:10"
"408",41,"M","01:19:02","02:49:12"
"409",44,"M","01:21:01","02:49:13"
"410",57,"M","01:21:57","02:49:16"
"411",36,"M","01:21:47","02:49:20"
"412",27,"M","01:22:31","02:49:23"
"413",30,"M","01:20:14","02:49:27"
"414",28,"W","01:22:12","02:49:29"
"415",48,"M","01:22:56","02:49:29"
"416",37,"M","01:17:03","02:49:31"
"417",45,"M","01:22:27","02:49:31"
"418",21,"M","01:23:40","02:49:34"
"419",32,"M","01:22:22","02:49:34"
"420",49,"M","01:22:00","02:49:36"
"421",27,"M","01:24:32","02:49:36"
"422",22,"M","01:20:35","02:49:37"
"423",28,"M","01:22:16","02:49:40"
"424",25,"W","01:18:00","02:49:41"
"425",40,"M","01:23:23","02:49:46"
"426",43,"M","01:21:41","02:49:48"
"427",52,"M","01:23:05","02:49:49"
"428",23,"M","01:15:55","02:49:50"
"429",41,"M","01:19:34","02:49:51"
"430",41,"M","01:24:05","02:49:51"
"431",51,"M","01:23:47","02:49:58"
"432",37,"M","01:24:22","02:49:58"
"433",34,"M","01:22:07","02:49:58"
"434",47,"M","01:24:50","02:50:04"
"435",49,"M","01:22:00","02:50:06"
"436",41,"M","01:23:36","02:50:08"
"437",37,"M","01:19:50","02:50:09"
"438",38,"M","01:20:59","02:50:10"
"439",30,"M","01:22:46","02:50:11"
"440",43,"M","01:21:30","02:50:14"
"441",46,"M","01:24:00","02:50:14"
"442",42,"M","01:21:24","02:50:16"
"443",37,"M","01:18:27","02:50:17"
"444",51,"M","01:24:10","02:50:19"
"445",37,"M","01:21:06","02:50:20"
"446",24,"M","01:23:52","02:50:21"
"447",49,"M","01:22:50","02:50:22"
"448",38,"W","01:24:26","02:50:23"
"449",36,"M","01:25:35","02:50:24"
"450",32,"M","01:23:21","02:50:26"
"451",43,"M","01:22:58","02:50:28"
"452",38,"M","01:23:06","02:50:29"
"453",27,"M","01:18:15","02:50:29"
"454",42,"M","01:22:21","02:50:29"
"455",48,"M","01:22:25","02:50:29"
"456",23,"M","01:17:11","02:50:30"
"457",38,"M","01:25:20","02:50:32"
"458",29,"M","01:23:43","02:50:32"
"459",32,"M","01:18:56","02:50:36"
"460",29,"M","01:15:17","02:50:40"
"461",40,"M","01:21:48","02:50:47"
"462",49,"M","01:24:49","02:50:48"
"463",26,"M","01:23:01","02:50:50"
"464",24,"M","01:20:40","02:50:53"
"465",34,"W","01:24:13","02:50:53"
"466",34,"M","01:19:47","02:50:55"
"467",40,"M","01:25:17","02:50:57"
"468",30,"M","01:25:17","02:50:57"
"469",20,"M","01:21:48","02:50:57"
"470",27,"M","01:21:05","02:50:58"
"471",38,"M","01:22:30","02:51:00"
"472",39,"M","01:21:50","02:51:01"
"473",28,"M","01:20:33","02:51:01"
"474",35,"M","01:20:24","02:51:01"
"475",39,"M","01:23:38","02:51:01"
"476",41,"M","01:23:35","02:51:03"
"477",41,"M","01:24:03","02:51:03"
"478",28,"M","01:24:34","02:51:05"
"479",31,"M","01:23:54","02:51:08"
"480",34,"M","01:17:57","02:51:10"
"481",30,"M","01:22:13","02:51:11"
"482",39,"M","01:24:31","02:51:15"
"483",26,"M","01:26:00","02:51:16"
"484",41,"M","01:22:12","02:51:17"
"485",40,"M","01:24:45","02:51:17"
"486",27,"M","01:20:35","02:51:19"
"487",37,"M","01:22:17","02:51:19"
"488",38,"M","01:22:39","02:51:20"
"489",39,"M","01:20:57","02:51:21"
"490",41,"W","01:24:18","02:51:25"
"491",52,"M","01:23:09","02:51:26"
"492",42,"M","01:25:35","02:51:27"
"493",36,"M","01:23:38","02:51:28"
"494",31,"M","01:25:06","02:51:29"
"495",42,"M","01:23:25","02:51:29"
"496",28,"M","01:23:52","02:51:31"
"497",41,"M","01:22:21","02:51:32"
"498",42,"M","01:21:49","02:51:33"
"499",36,"W","01:22:16","02:51:34"
"500",48,"M","01:23:37","02:51:35"
"501",30,"M","01:22:43","02:51:38"
"502",35,"M","01:23:52","02:51:38"
"503",34,"M","01:22:44","02:51:40"
"504",21,"M","01:23:34","02:51:41"
"505",44,"M","01:19:33","02:51:41"
"506",50,"M","01:22:24","02:51:42"
"507",40,"M","01:23:57","02:51:42"
"508",40,"M","01:24:54","02:51:44"
"509",31,"M","01:22:30","02:51:47"
"510",28,"M","01:23:01","02:51:49"
"511",38,"M","01:24:29","02:51:51"
"512",28,"M","01:23:46","02:51:52"
"513",35,"M","01:21:22","02:51:54"
"514",21,"M","01:20:04","02:51:55"
"515",28,"M","01:22:53","02:51:57"
"516",31,"W","01:25:52","02:51:58"
"517",39,"M","01:23:17","02:51:58"
"518",42,"M","01:19:36","02:51:59"
"519",34,"M","01:23:33","02:51:59"
"520",46,"M","01:24:50","02:51:59"
"521",22,"W","01:25:11","02:52:01"
"522",35,"M","01:25:40","02:52:06"
"523",44,"M","01:24:36","02:52:07"
"524",52,"M","01:23:02","02:52:08"
"525",47,"M","01:21:52","02:52:08"
"526",50,"M","01:24:50","02:52:10"
"527",43,"M","01:19:34","02:52:14"
"528",49,"M","01:24:24","02:52:14"
"529",40,"M","01:21:57","02:52:14"
"530",29,"M","01:21:54","02:52:15"
"531",33,"W","01:26:52","02:52:18"
"532",33,"M","01:26:31","02:52:18"
"533",34,"M","01:24:20","02:52:21"
"534",53,"M","01:23:43","02:52:24"
"535",27,"M","01:26:18","02:52:25"
"536",38,"M","01:23:07","02:52:25"
"537",33,"M","01:27:03","02:52:25"
"538",40,"M","01:24:56","02:52:27"
"539",25,"M","01:25:50","02:52:27"
"540",25,"M","01:26:01","02:52:27"
"541",30,"M","01:26:25","02:52:28"
"542",35,"M","01:24:14","02:52:28"
"543",29,"M","01:22:30","02:52:31"
"544",37,"M","01:16:49","02:52:31"
"545",34,"M","01:21:54","02:52:31"
"546",27,"W","01:25:05","02:52:33"
"547",33,"M","01:23:51","02:52:34"
"548",38,"M","01:23:17","02:52:36"
"549",39,"M","01:25:06","02:52:38"
"550",28,"M","01:23:41","02:52:39"
"551",43,"M","01:24:17","02:52:43"
"552",51,"M","01:22:12","02:52:44"
"553",32,"W","01:24:21","02:52:44"
"554",36,"M","01:24:59","02:52:45"
"555",44,"M","01:25:57","02:52:46"
"556",51,"M","01:24:27","02:52:48"
"557",31,"M","01:24:15","02:52:49"
"558",39,"W","01:25:10","02:52:50"
"559",39,"M","01:23:18","02:52:51"
"560",30,"M","01:25:00","02:52:53"
"561",44,"M","01:23:08","02:52:56"
"562",49,"M","01:24:32","02:52:57"
"563",37,"M","01:22:46","02:53:00"
"564",30,"M","01:23:13","02:53:03"
"565",33,"M","01:22:00","02:53:04"
"566",39,"M","01:24:21","02:53:05"
"567",40,"M","01:23:26","02:53:06"
"568",32,"M","01:22:55","02:53:06"
"569",40,"M","01:24:40","02:53:06"
"570",31,"M","01:22:51","02:53:10"
"571",25,"M","01:21:25","02:53:12"
"572",36,"M","01:15:26","02:53:14"
"573",41,"M","01:20:48","02:53:17"
"574",29,"M","01:22:23","02:53:17"
"575",38,"M","01:24:56","02:53:21"
"576",42,"M","01:24:34","02:53:25"
"577",26,"M","01:23:46","02:53:25"
"578",37,"M","01:22:45","02:53:25"
"579",42,"M","01:21:36","02:53:26"
"580",38,"M","01:21:43","02:53:27"
"581",47,"M","01:22:27","02:53:28"
"582",45,"M","01:23:36","02:53:28"
"583",35,"M","01:24:24","02:53:29"
"584",30,"M","01:26:26","02:53:31"
"585",23,"M","01:24:01","02:53:31"
"586",31,"M","01:27:01","02:53:32"
"587",41,"M","01:26:28","02:53:35"
"588",31,"M","01:22:26","02:53:40"
"589",44,"M","01:21:30","02:53:43"
"590",32,"M","01:24:29","02:53:44"
"591",46,"M","01:24:02","02:53:45"
"592",38,"M","01:25:07","02:53:46"
"593",44,"M","01:23:49","02:53:47"
"594",51,"M","01:25:36","02:53:47"
"595",32,"M","01:26:08","02:53:48"
"596",33,"M","01:26:17","02:53:48"
"597",29,"W","01:28:06","02:53:50"
"598",50,"M","01:22:43","02:53:52"
"599",45,"M","01:23:54","02:53:52"
"600",39,"M","01:23:30","02:53:54"
"601",30,"M","01:23:24","02:53:55"
"602",30,"M","01:27:32","02:53:55"
"603",30,"W","01:24:16","02:53:59"
"604",40,"M","01:19:40","02:53:59"
"605",28,"M","01:24:38","02:53:59"
"606",27,"M","01:18:43","02:54:01"
"607",33,"M","01:20:17","02:54:02"
"608",27,"W","01:24:40","02:54:04"
"609",42,"M","01:26:39","02:54:04"
"610",45,"M","01:25:12","02:54:05"
"611",39,"M","01:24:16","02:54:06"
"612",44,"M","01:23:10","02:54:07"
"613",36,"M","01:25:05","02:54:07"
"614",33,"M","01:22:43","02:54:08"
"615",44,"M","01:26:03","02:54:09"
"616",42,"M","01:26:13","02:54:11"
"617",37,"M","01:24:58","02:54:11"
"618",25,"M","01:22:53","02:54:14"
"619",25,"W","01:25:23","02:54:18"
"620",45,"M","01:22:35","02:54:21"
"621",31,"M","01:25:47","02:54:22"
"622",44,"M","01:24:01","02:54:22"
"623",34,"M","01:27:01","02:54:24"
"624",39,"W","01:26:15","02:54:24"
"625",46,"M","01:23:12","02:54:31"
"626",36,"M","01:26:29","02:54:31"
"627",39,"M","01:25:11","02:54:31"
"628",32,"M","01:25:26","02:54:32"
"629",45,"M","01:25:01","02:54:35"
"630",49,"M","01:26:34","02:54:39"
"631",39,"M","01:26:25","02:54:40"
"632",37,"M","01:22:26","02:54:42"
"633",28,"M","01:24:11","02:54:42"
"634",24,"M","01:23:15","02:54:42"
"635",39,"M","01:25:35","02:54:45"
"636",43,"M","01:25:14","02:54:46"
"637",37,"M","01:26:05","02:54:47"
"638",33,"M","01:26:52","02:54:49"
"639",35,"M","01:23:24","02:54:50"
"640",32,"W","01:27:49","02:54:51"
"641",46,"M","01:25:28","02:54:52"
"642",44,"M","01:24:52","02:54:55"
"643",39,"W","01:24:03","02:54:55"
"644",24,"M","01:21:11","02:54:57"
"645",27,"M","01:23:16","02:54:57"
"646",28,"W","01:26:08","02:54:58"
"647",41,"W","01:24:55","02:55:02"
"648",41,"M","01:22:21","02:55:03"
"649",35,"M","01:25:44","02:55:04"
"650",40,"M","01:24:15","02:55:04"
"651",34,"M","01:25:07","02:55:04"
"652",39,"M","01:21:54","02:55:06"
"653",40,"M","01:24:15","02:55:06"
"654",25,"M","01:27:42","02:55:09"
"655",51,"M","01:25:02","02:55:12"
"656",43,"M","01:24:33","02:55:15"
"657",42,"M","01:22:47","02:55:16"
"658",45,"M","01:23:32","02:55:18"
"659",29,"M","01:18:41","02:55:18"
"660",52,"M","01:24:57","02:55:21"
"661",25,"W","01:25:41","02:55:23"
"662",37,"M","01:23:29","02:55:23"
"663",25,"M","01:24:21","02:55:23"
"664",32,"M","01:26:30","02:55:25"
"665",40,"M","01:23:39","02:55:25"
