"","year","month","day","gender","births"
"95",1969,2,"16","F",4118
"96",1969,2,"16","M",4416
"97",1969,2,"17","F",4768
"98",1969,2,"17","M",5054
"99",1969,2,"18","F",4962
"100",1969,2,"18","M",5214
"101",1969,2,"19","F",4788
"102",1969,2,"19","M",5028
"103",1969,2,"20","F",4920
"104",1969,2,"20","M",5062
"105",1969,2,"21","F",4940
"106",1969,2,"21","M",4976
"107",1969,2,"22","F",4484
"108",1969,2,"22","M",4668
"109",1969,2,"23","F",4298
"110",1969,2,"23","M",4406
"111",1969,2,"24","F",4798
"112",1969,2,"24","M",5168
"113",1969,2,"25","F",5196
"114",1969,2,"25","M",5370
"115",1969,2,"26","F",4838
"116",1969,2,"26","M",5210
"117",1969,2,"27","F",4588
"118",1969,2,"27","M",5030
"119",1969,2,"28","F",4792
"120",1969,2,"28","M",4964
"121",1969,2,"29","F",50
"122",1969,2,"29","M",16
"123",1969,2,"30","F",24
"124",1969,2,"30","M",28
"125",1969,2,"31","F",24
"126",1969,2,"31","M",20
"127",1969,2,"99","F",42
"128",1969,2,"99","M",48
"129",1969,3,"1","F",4402
"130",1969,3,"1","M",4784
"131",1969,3,"2","F",4204
"132",1969,3,"2","M",4376
"133",1969,3,"3","F",4874
"134",1969,3,"3","M",5194
"135",1969,3,"4","F",4994
"136",1969,3,"4","M",5270
"137",1969,3,"5","F",4958
"138",1969,3,"5","M",5088
"139",1969,3,"6","F",4640
"140",1969,3,"6","M",5064
"141",1969,3,"7","F",4658
"142",1969,3,"7","M",5290
"143",1969,3,"8","F",4462
"144",1969,3,"8","M",4872
"145",1969,3,"9","F",4146
"146",1969,3,"9","M",4248
"147",1969,3,"10","F",4816
"148",1969,3,"10","M",5076
"149",1969,3,"11","F",5096
"150",1969,3,"11","M",5092
"151",1969,3,"12","F",4800
"152",1969,3,"12","M",4976
"153",1969,3,"13","F",4710
"154",1969,3,"13","M",4930
"155",1969,3,"14","F",4936
"156",1969,3,"14","M",5098
"157",1969,3,"15","F",4300
"158",1969,3,"15","M",4538
"159",1969,3,"16","F",4110
"160",1969,3,"16","M",4226
"161",1969,3,"17","F",4788
"162",1969,3,"17","M",5340
"163",1969,3,"18","F",4910
"164",1969,3,"18","M",5226
"165",1969,3,"19","F",4968
"166",1969,3,"19","M",5096
"167",1969,3,"20","F",4738
"168",1969,3,"20","M",5074
"169",1969,3,"21","F",4832
"170",1969,3,"21","M",5070
"171",1969,3,"22","F",4446
"172",1969,3,"22","M",4516
"173",1969,3,"23","F",4240
"174",1969,3,"23","M",4362
"175",1969,3,"24","F",4730
"176",1969,3,"24","M",5072
"177",1969,3,"25","F",4976
"178",1969,3,"25","M",5296
"179",1969,3,"26","F",4822
"180",1969,3,"26","M",4996
"181",1969,3,"27","F",4628
"182",1969,3,"27","M",5070
"183",1969,3,"28","F",4968
"184",1969,3,"28","M",5358
"185",1969,3,"29","F",4292
"186",1969,3,"29","M",4616
"187",1969,3,"30","F",3986
"188",1969,3,"30","M",4200
"189",1969,3,"31","F",4590
"190",1969,3,"31","M",5002
"191",1969,3,"99","F",64
"192",1969,3,"99","M",50
"193",1969,4,"1","F",4990
"194",1969,4,"1","M",4970
"195",1969,4,"2","F",4766
"196",1969,4,"2","M",5212
"197",1969,4,"3","F",4682
"198",1969,4,"3","M",4848
"199",1969,4,"4","F",4718
"200",1969,4,"4","M",4854
"201",1969,4,"5","F",4384
"202",1969,4,"5","M",4364
"203",1969,4,"6","F",3896
"204",1969,4,"6","M",4112
"205",1969,4,"7","F",4418
"206",1969,4,"7","M",4956
"207",1969,4,"8","F",4930
"208",1969,4,"8","M",5246
"209",1969,4,"9","F",4748
"210",1969,4,"9","M",5104
"211",1969,4,"10","F",4730
"212",1969,4,"10","M",4978
"213",1969,4,"11","F",4848
"214",1969,4,"11","M",5072
"215",1969,4,"12","F",4318
"216",1969,4,"12","M",4622
"217",1969,4,"13","F",3886
"218",1969,4,"13","M",4248
"219",1969,4,"14","F",4726
"220",1969,4,"14","M",4840
"221",1969,4,"15","F",5064
"222",1969,4,"15","M",5364
"223",1969,4,"16","F",4804
"224",1969,4,"16","M",5036
"225",1969,4,"17","F",4832
"226",1969,4,"17","M",5044
"227",1969,4,"18","F",4832
"228",1969,4,"18","M",5040
"229",1969,4,"19","F",4292
"230",1969,4,"19","M",4702
"231",1969,4,"20","F",3760
"232",1969,4,"20","M",4168
"233",1969,4,"21","F",4828
"234",1969,4,"21","M",4782
"235",1969,4,"22","F",5016
"236",1969,4,"22","M",5210
"237",1969,4,"23","F",4660
"238",1969,4,"23","M",5208
"239",1969,4,"24","F",4620
"240",1969,4,"24","M",4852
"241",1969,4,"25","F",4610
"242",1969,4,"25","M",5036
"243",1969,4,"26","F",4338
"244",1969,4,"26","M",4584
"245",1969,4,"27","F",3846
"246",1969,4,"27","M",4120
"247",1969,4,"28","F",4622
"248",1969,4,"28","M",4896
"249",1969,4,"29","F",4622
"250",1969,4,"29","M",5078
"251",1969,4,"30","F",4396
"252",1969,4,"30","M",4742
"253",1969,4,"31","F",28
"254",1969,4,"31","M",24
"255",1969,4,"99","F",50
"256",1969,4,"99","M",66
"257",1969,5,"1","F",4598
"258",1969,5,"1","M",4608
"259",1969,5,"2","F",4708
"260",1969,5,"2","M",5028
"261",1969,5,"3","F",4148
"262",1969,5,"3","M",4620
"263",1969,5,"4","F",3922
"264",1969,5,"4","M",4172
"265",1969,5,"5","F",4854
"266",1969,5,"5","M",5076
"267",1969,5,"6","F",4906
"268",1969,5,"6","M",5058
"269",1969,5,"7","F",4724
"270",1969,5,"7","M",4902
"271",1969,5,"8","F",4564
"272",1969,5,"8","M",4920
"273",1969,5,"9","F",4634
"274",1969,5,"9","M",4728
"275",1969,5,"10","F",4072
"276",1969,5,"10","M",4444
"277",1969,5,"11","F",3998
"278",1969,5,"11","M",4124
"279",1969,5,"12","F",4570
"280",1969,5,"12","M",4736
"281",1969,5,"13","F",4776
"282",1969,5,"13","M",5086
"283",1969,5,"14","F",4402
"284",1969,5,"14","M",4782
"285",1969,5,"15","F",4646
"286",1969,5,"15","M",4878
"287",1969,5,"16","F",4880
"288",1969,5,"16","M",4944
"289",1969,5,"17","F",4376
"290",1969,5,"17","M",4570
"291",1969,5,"18","F",3922
"292",1969,5,"18","M",4106
"293",1969,5,"19","F",4626
"294",1969,5,"19","M",4868
"295",1969,5,"20","F",5034
"296",1969,5,"20","M",5354
"297",1969,5,"21","F",4698
"298",1969,5,"21","M",5068
"299",1969,5,"22","F",4630
"300",1969,5,"22","M",4776
"301",1969,5,"23","F",4548
"302",1969,5,"23","M",5036
"303",1969,5,"24","F",4174
"304",1969,5,"24","M",4384
"305",1969,5,"25","F",4030
"306",1969,5,"25","M",4196
"307",1969,5,"26","F",4752
"308",1969,5,"26","M",5088
"309",1969,5,"27","F",5264
"310",1969,5,"27","M",5088
"311",1969,5,"28","F",4966
"312",1969,5,"28","M",4972
"313",1969,5,"29","F",4878
"314",1969,5,"29","M",5312
"315",1969,5,"30","F",4452
"316",1969,5,"30","M",4702
"317",1969,5,"31","F",4112
"318",1969,5,"31","M",4528
"319",1969,5,"99","F",54
"320",1969,5,"99","M",52
"321",1969,6,"1","F",4174
"322",1969,6,"1","M",4252
"323",1969,6,"2","F",4736
"324",1969,6,"2","M",5126
"325",1969,6,"3","F",5146
"326",1969,6,"3","M",5012
"327",1969,6,"4","F",4750
"328",1969,6,"4","M",5088
"329",1969,6,"5","F",4686
"330",1969,6,"5","M",4902
"331",1969,6,"6","F",4864
"332",1969,6,"6","M",5142
"333",1969,6,"7","F",4342
"334",1969,6,"7","M",4472
"335",1969,6,"8","F",3958
"336",1969,6,"8","M",4268
"337",1969,6,"9","F",4826
"338",1969,6,"9","M",4912
"339",1969,6,"10","F",4920
"340",1969,6,"10","M",5400
"341",1969,6,"11","F",4760
"342",1969,6,"11","M",5190
"343",1969,6,"12","F",4980
"344",1969,6,"12","M",5240
"345",1969,6,"13","F",4772
"346",1969,6,"13","M",5080
"347",1969,6,"14","F",4358
"348",1969,6,"14","M",4562
"349",1969,6,"15","F",4046
"350",1969,6,"15","M",4356
"351",1969,6,"16","F",4628
"352",1969,6,"16","M",5116
"353",1969,6,"17","F",5150
"354",1969,6,"17","M",5144
"355",1969,6,"18","F",4864
"356",1969,6,"18","M",5356
"357",1969,6,"19","F",4630
"358",1969,6,"19","M",5126
"359",1969,6,"20","F",5122
"360",1969,6,"20","M",5302
"361",1969,6,"21","F",4328
"362",1969,6,"21","M",4706
"363",1969,6,"22","F",4136
"364",1969,6,"22","M",4476
"365",1969,6,"23","F",4842
"366",1969,6,"23","M",5038
"367",1969,6,"24","F",5180
"368",1969,6,"24","M",5444
"369",1969,6,"25","F",5196
"370",1969,6,"25","M",5270
"371",1969,6,"26","F",5016
"372",1969,6,"26","M",5328
"373",1969,6,"27","F",5288
"374",1969,6,"27","M",5488
"375",1969,6,"28","F",4610
"376",1969,6,"28","M",4956
"377",1969,6,"29","F",4262
"378",1969,6,"29","M",4538
"379",1969,6,"30","F",5260
"380",1969,6,"30","M",5328
"381",1969,6,"31","F",20
"382",1969,6,"31","M",40
"383",1969,6,"99","F",54
"384",1969,6,"99","M",48
"385",1969,7,"1","F",5378
"386",1969,7,"1","M",5768
"387",1969,7,"2","F",5242
"388",1969,7,"2","M",5516
"389",1969,7,"3","F",5030
"390",1969,7,"3","M",5532
"391",1969,7,"4","F",4504
"392",1969,7,"4","M",4664
"393",1969,7,"5","F",4492
"394",1969,7,"5","M",4756
"395",1969,7,"6","F",4246
"396",1969,7,"6","M",4614
"397",1969,7,"7","F",5138
"398",1969,7,"7","M",5496
"399",1969,7,"8","F",5282
"400",1969,7,"8","M",5560
"401",1969,7,"9","F",5132
"402",1969,7,"9","M",5444
"403",1969,7,"10","F",5166
"404",1969,7,"10","M",5396
"405",1969,7,"11","F",5210
"406",1969,7,"11","M",5476
"407",1969,7,"12","F",4596
"408",1969,7,"12","M",4876
"409",1969,7,"13","F",4454
"410",1969,7,"13","M",4524
"411",1969,7,"14","F",4768
"412",1969,7,"14","M",5474
"413",1969,7,"15","F",5486
"414",1969,7,"15","M",5810
"415",1969,7,"16","F",5086
"416",1969,7,"16","M",5612
"417",1969,7,"17","F",5194
"418",1969,7,"17","M",5474
"419",1969,7,"18","F",5242
"420",1969,7,"18","M",5390
"421",1969,7,"19","F",4838
"422",1969,7,"19","M",4836
"423",1969,7,"20","F",4320
"424",1969,7,"20","M",4620
"425",1969,7,"21","F",4984
"426",1969,7,"21","M",5212
"427",1969,7,"22","F",5408
"428",1969,7,"22","M",5632
"429",1969,7,"23","F",5092
"430",1969,7,"23","M",5376
"431",1969,7,"24","F",5124
"432",1969,7,"24","M",5306
"433",1969,7,"25","F",5126
"434",1969,7,"25","M",5562
"435",1969,7,"26","F",4734
"436",1969,7,"26","M",5052
"437",1969,7,"27","F",4626
"438",1969,7,"27","M",4782
"439",1969,7,"28","F",4990
"440",1969,7,"28","M",5558
"441",1969,7,"29","F",5434
"442",1969,7,"29","M",5668
"443",1969,7,"30","F",5192
"444",1969,7,"30","M",5442
"445",1969,7,"31","F",5076
"446",1969,7,"31","M",5270
"447",1969,7,"99","F",24
"448",1969,7,"99","M",44
"449",1969,8,"1","F",5112
"450",1969,8,"1","M",5618
"451",1969,8,"2","F",4872
"452",1969,8,"2","M",5110
"453",1969,8,"3","F",4464
"454",1969,8,"3","M",4618
"455",1969,8,"4","F",5118
"456",1969,8,"4","M",5332
"457",1969,8,"5","F",5418
"458",1969,8,"5","M",5526
"459",1969,8,"6","F",5232
"460",1969,8,"6","M",5620
"461",1969,8,"7","F",5066
"462",1969,8,"7","M",5316
"463",1969,8,"8","F",5376
"464",1969,8,"8","M",5926
"465",1969,8,"9","F",4968
"466",1969,8,"9","M",5124
"467",1969,8,"10","F",4394
"468",1969,8,"10","M",4712
"469",1969,8,"11","F",5120
"470",1969,8,"11","M",5586
"471",1969,8,"12","F",5542
"472",1969,8,"12","M",5596
"473",1969,8,"13","F",5210
"474",1969,8,"13","M",5592
"475",1969,8,"14","F",5290
"476",1969,8,"14","M",5436
"477",1969,8,"15","F",5298
"478",1969,8,"15","M",5612
"479",1969,8,"16","F",4774
"480",1969,8,"16","M",4998
"481",1969,8,"17","F",4482
"482",1969,8,"17","M",4642
"483",1969,8,"18","F",5120
"484",1969,8,"18","M",5530
"485",1969,8,"19","F",5550
"486",1969,8,"19","M",5860
"487",1969,8,"20","F",5226
"488",1969,8,"20","M",5692
"489",1969,8,"21","F",4962
"490",1969,8,"21","M",5222
"491",1969,8,"22","F",5170
"492",1969,8,"22","M",5416
"493",1969,8,"23","F",4682
"494",1969,8,"23","M",4978
"495",1969,8,"24","F",4438
"496",1969,8,"24","M",4646
"497",1969,8,"25","F",5104
"498",1969,8,"25","M",5482
"499",1969,8,"26","F",5400
"500",1969,8,"26","M",5682
"501",1969,8,"27","F",5076
"502",1969,8,"27","M",5562
"503",1969,8,"28","F",5162
"504",1969,8,"28","M",5454
"505",1969,8,"29","F",5138
"506",1969,8,"29","M",5576
"507",1969,8,"30","F",4680
"508",1969,8,"30","M",5028
"509",1969,8,"31","F",4358
"510",1969,8,"31","M",4628
"511",1969,8,"99","F",54
"512",1969,8,"99","M",58
"513",1969,9,"1","F",4440
"514",1969,9,"1","M",4572
"515",1969,9,"2","F",5174
"516",1969,9,"2","M",5512
"517",1969,9,"3","F",5210
"518",1969,9,"3","M",5834
"519",1969,9,"4","F",5172
"520",1969,9,"4","M",5334
"521",1969,9,"5","F",5032
"522",1969,9,"5","M",5578
"523",1969,9,"6","F",4722
"524",1969,9,"6","M",4988
"525",1969,9,"7","F",4514
"526",1969,9,"7","M",4682
"527",1969,9,"8","F",5030
"528",1969,9,"8","M",5478
"529",1969,9,"9","F",5172
"530",1969,9,"9","M",5426
"531",1969,9,"10","F",5020
"532",1969,9,"10","M",5430
"533",1969,9,"11","F",5042
"534",1969,9,"11","M",5366
"535",1969,9,"12","F",5226
"536",1969,9,"12","M",5526
"537",1969,9,"13","F",4744
"538",1969,9,"13","M",4790
"539",1969,9,"14","F",4552
"540",1969,9,"14","M",4652
"541",1969,9,"15","F",5122
"542",1969,9,"15","M",5606
"543",1969,9,"16","F",5390
"544",1969,9,"16","M",5752
"545",1969,9,"17","F",5268
"546",1969,9,"17","M",5596
"547",1969,9,"18","F",5288
"548",1969,9,"18","M",5588
"549",1969,9,"19","F",5422
"550",1969,9,"19","M",5410
"551",1969,9,"20","F",4930
"552",1969,9,"20","M",5110
"553",1969,9,"21","F",4712
"554",1969,9,"21","M",4656
"555",1969,9,"22","F",5374
"556",1969,9,"22","M",5596
"557",1969,9,"23","F",5504
"558",1969,9,"23","M",5796
"559",1969,9,"24","F",5250
"560",1969,9,"24","M",5648
"561",1969,9,"25","F",5278
"562",1969,9,"25","M",5562
"563",1969,9,"26","F",5508
"564",1969,9,"26","M",5646
"565",1969,9,"27","F",4986
"566",1969,9,"27","M",5184
"567",1969,9,"28","F",4564
"568",1969,9,"28","M",4634
"569",1969,9,"29","F",5192
"570",1969,9,"29","M",5516
"571",1969,9,"30","F",5454
"572",1969,9,"30","M",5684
"573",1969,9,"31","F",38
"574",1969,9,"31","M",30
"575",1969,9,"99","F",60
"576",1969,9,"99","M",48
"577",1969,10,"1","F",5290
"578",1969,10,"1","M",5620
"579",1969,10,"2","F",5322
"580",1969,10,"2","M",5334
"581",1969,10,"3","F",5324
"582",1969,10,"3","M",5598
"583",1969,10,"4","F",4732
"584",1969,10,"4","M",4978
"585",1969,10,"5","F",4464
"586",1969,10,"5","M",4508
"587",1969,10,"6","F",5008
"588",1969,10,"6","M",5310
"589",1969,10,"7","F",5150
"590",1969,10,"7","M",5504
"591",1969,10,"8","F",5194
"592",1969,10,"8","M",5316
"593",1969,10,"9","F",5268
"594",1969,10,"9","M",5442
"595",1969,10,"10","F",5398
"596",1969,10,"10","M",5350
"597",1969,10,"11","F",4640
"598",1969,10,"11","M",4926
"599",1969,10,"12","F",4428
"600",1969,10,"12","M",4586
"601",1969,10,"13","F",4894
"602",1969,10,"13","M",5102
"603",1969,10,"14","F",5048
"604",1969,10,"14","M",5570
"605",1969,10,"15","F",4884
"606",1969,10,"15","M",5236
"607",1969,10,"16","F",4836
"608",1969,10,"16","M",5082
"609",1969,10,"17","F",5088
"610",1969,10,"17","M",5250
"611",1969,10,"18","F",4382
"612",1969,10,"18","M",4790
"613",1969,10,"19","F",4092
"614",1969,10,"19","M",4494
"615",1969,10,"20","F",4876
"616",1969,10,"20","M",5272
"617",1969,10,"21","F",5088
"618",1969,10,"21","M",5586
"619",1969,10,"22","F",5018
"620",1969,10,"22","M",5282
"621",1969,10,"23","F",4790
"622",1969,10,"23","M",5024
"623",1969,10,"24","F",4920
"624",1969,10,"24","M",5090
"625",1969,10,"25","F",4416
"626",1969,10,"25","M",4842
"627",1969,10,"26","F",4300
"628",1969,10,"26","M",4564
"629",1969,10,"27","F",5054
"630",1969,10,"27","M",5318
"631",1969,10,"28","F",5096
"632",1969,10,"28","M",5544
"633",1969,10,"29","F",4920
"634",1969,10,"29","M",5184
"635",1969,10,"30","F",4930
"636",1969,10,"30","M",5180
"637",1969,10,"31","F",4836
"638",1969,10,"31","M",5308
"639",1969,10,"99","F",48
"640",1969,10,"99","M",48
"641",1969,11,"1","F",4676
"642",1969,11,"1","M",4666
"643",1969,11,"2","F",4376
"644",1969,11,"2","M",4528
"645",1969,11,"3","F",4952
"646",1969,11,"3","M",5386
"647",1969,11,"4","F",5114
"648",1969,11,"4","M",5658
"649",1969,11,"5","F",4832
"650",1969,11,"5","M",5188
"651",1969,11,"6","F",5090
"652",1969,11,"6","M",5150
"653",1969,11,"7","F",5172
"654",1969,11,"7","M",5488
"655",1969,11,"8","F",4726
"656",1969,11,"8","M",4952
"657",1969,11,"9","F",4342
"658",1969,11,"9","M",4680
"659",1969,11,"10","F",5024
"660",1969,11,"10","M",5318
"661",1969,11,"11","F",5252
"662",1969,11,"11","M",5626
"663",1969,11,"12","F",4862
"664",1969,11,"12","M",5462
"665",1969,11,"13","F",5028
"666",1969,11,"13","M",5072
"667",1969,11,"14","F",5210
"668",1969,11,"14","M",5186
"669",1969,11,"15","F",4480
"670",1969,11,"15","M",4818
"671",1969,11,"16","F",4290
"672",1969,11,"16","M",4370
"673",1969,11,"17","F",4966
"674",1969,11,"17","M",5320
"675",1969,11,"18","F",5346
"676",1969,11,"18","M",5352
"677",1969,11,"19","F",5000
"678",1969,11,"19","M",5260
"679",1969,11,"20","F",5072
"680",1969,11,"20","M",5186
"681",1969,11,"21","F",4846
"682",1969,11,"21","M",5322
"683",1969,11,"22","F",4576
"684",1969,11,"22","M",4862
"685",1969,11,"23","F",4354
"686",1969,11,"23","M",4512
"687",1969,11,"24","F",5186
"688",1969,11,"24","M",5276
"689",1969,11,"25","F",5318
"690",1969,11,"25","M",5546
"691",1969,11,"26","F",4874
"692",1969,11,"26","M",5200
"693",1969,11,"27","F",4084
"694",1969,11,"27","M",4164
"695",1969,11,"28","F",4838
"696",1969,11,"28","M",5110
"697",1969,11,"29","F",4536
"698",1969,11,"29","M",4796
"699",1969,11,"30","F",4448
"700",1969,11,"30","M",4518
"701",1969,11,"31","F",54
"702",1969,11,"31","M",62
"703",1969,11,"99","F",40
"704",1969,11,"99","M",56
"705",1969,12,"1","F",5124
"706",1969,12,"1","M",5524
"707",1969,12,"2","F",5224
"708",1969,12,"2","M",5512
"709",1969,12,"3","F",4948
"710",1969,12,"3","M",5352
"711",1969,12,"4","F",5042
"712",1969,12,"4","M",5212
"713",1969,12,"5","F",4988
"714",1969,12,"5","M",5440
"715",1969,12,"6","F",4602
"716",1969,12,"6","M",4818
"717",1969,12,"7","F",4178
"718",1969,12,"7","M",4562
"719",1969,12,"8","F",5240
"720",1969,12,"8","M",5406
"721",1969,12,"9","F",5246
"722",1969,12,"9","M",5484
"723",1969,12,"10","F",5108
"724",1969,12,"10","M",5240
"725",1969,12,"11","F",5052
"726",1969,12,"11","M",5248
"727",1969,12,"12","F",5254
"728",1969,12,"12","M",5504
"729",1969,12,"13","F",4680
"730",1969,12,"13","M",4922
"731",1969,12,"14","F",4174
"732",1969,12,"14","M",4588
"733",1969,12,"15","F",5328
"734",1969,12,"15","M",5570
"735",1969,12,"16","F",5368
"736",1969,12,"16","M",5654
"737",1969,12,"17","F",5138
"738",1969,12,"17","M",5508
"739",1969,12,"18","F",5180
"740",1969,12,"18","M",5246
"741",1969,12,"19","F",5366
"742",1969,12,"19","M",5546
"743",1969,12,"20","F",4964
"744",1969,12,"20","M",4858
"745",1969,12,"21","F",4434
"746",1969,12,"21","M",4430
"747",1969,12,"22","F",5194
"748",1969,12,"22","M",5298
"749",1969,12,"23","F",4820
"750",1969,12,"23","M",5036
"751",1969,12,"24","F",4322
"752",1969,12,"24","M",4656
"753",1969,12,"25","F",4136
"754",1969,12,"25","M",4148
"755",1969,12,"26","F",4826
"756",1969,12,"26","M",5084
"757",1969,12,"27","F",4544
"758",1969,12,"27","M",4760
"759",1969,12,"28","F",4344
"760",1969,12,"28","M",4660
"761",1969,12,"29","F",5364
"762",1969,12,"29","M",5616
"763",1969,12,"30","F",5988
"764",1969,12,"30","M",6244
"765",1969,12,"31","F",5602
"766",1969,12,"31","M",5520
"767",1969,12,"99","F",44
"768",1969,12,"99","M",54
"769",1970,1,"1","F",4064
"770",1970,1,"1","M",4308
"771",1970,1,"2","F",4536
"772",1970,1,"2","M",4698
"773",1970,1,"3","F",4398
"774",1970,1,"3","M",4764
"775",1970,1,"4","F",3968
"776",1970,1,"4","M",4652
"777",1970,1,"5","F",4718
"778",1970,1,"5","M",5134
"779",1970,1,"6","F",4998
"780",1970,1,"6","M",5204
"781",1970,1,"7","F",4910
"782",1970,1,"7","M",5110
"783",1970,1,"8","F",4744
"784",1970,1,"8","M",5012
"785",1970,1,"9","F",4828
"786",1970,1,"9","M",5016
"787",1970,1,"10","F",4490
"788",1970,1,"10","M",4780
"789",1970,1,"11","F",4476
"790",1970,1,"11","M",4682
"791",1970,1,"12","F",5056
"792",1970,1,"12","M",5418
"793",1970,1,"13","F",5078
"794",1970,1,"13","M",5502
"795",1970,1,"14","F",4986
"796",1970,1,"14","M",5258
"797",1970,1,"15","F",4764
"798",1970,1,"15","M",5182
"799",1970,1,"16","F",4992
"800",1970,1,"16","M",5284
"801",1970,1,"17","F",4662
"802",1970,1,"17","M",4936
"803",1970,1,"18","F",4378
"804",1970,1,"18","M",4570
"805",1970,1,"19","F",4946
"806",1970,1,"19","M",5178
"807",1970,1,"20","F",5084
"808",1970,1,"20","M",5440
"809",1970,1,"21","F",4908
"810",1970,1,"21","M",5188
"811",1970,1,"22","F",4684
"812",1970,1,"22","M",5002
"813",1970,1,"23","F",5012
"814",1970,1,"23","M",5190
"815",1970,1,"24","F",4746
"816",1970,1,"24","M",4724
"817",1970,1,"25","F",4312
"818",1970,1,"25","M",4480
"819",1970,1,"26","F",4972
"820",1970,1,"26","M",5188
"821",1970,1,"27","F",5090
"822",1970,1,"27","M",5512
"823",1970,1,"28","F",4894
"824",1970,1,"28","M",5294
"825",1970,1,"29","F",4792
"826",1970,1,"29","M",5024
"827",1970,1,"30","F",4856
"828",1970,1,"30","M",5056
"829",1970,1,"31","F",4328
"830",1970,1,"31","M",4684
"831",1970,1,"99","F",84
"832",1970,1,"99","M",54
"833",1970,2,"1","F",4380
"834",1970,2,"1","M",4662
"835",1970,2,"2","F",5128
"836",1970,2,"2","M",5414
"837",1970,2,"3","F",5096
"838",1970,2,"3","M",5616
"839",1970,2,"4","F",4848
"840",1970,2,"4","M",5238
"841",1970,2,"5","F",4802
"842",1970,2,"5","M",4964
"843",1970,2,"6","F",5122
"844",1970,2,"6","M",5098
"845",1970,2,"7","F",4652
"846",1970,2,"7","M",4910
"847",1970,2,"8","F",4226
"848",1970,2,"8","M",4790
"849",1970,2,"9","F",5016
"850",1970,2,"9","M",5210
"851",1970,2,"10","F",5218
"852",1970,2,"10","M",5402
"853",1970,2,"11","F",4990
"854",1970,2,"11","M",5298
"855",1970,2,"12","F",4958
"856",1970,2,"12","M",5100
"857",1970,2,"13","F",4986
"858",1970,2,"13","M",5124
"859",1970,2,"14","F",4652
"860",1970,2,"14","M",4906
"861",1970,2,"15","F",4598
"862",1970,2,"15","M",4538
"863",1970,2,"16","F",5056
"864",1970,2,"16","M",5204
"865",1970,2,"17","F",5160
"866",1970,2,"17","M",5516
"867",1970,2,"18","F",5120
"868",1970,2,"18","M",5352
"869",1970,2,"19","F",4792
"870",1970,2,"19","M",5280
"871",1970,2,"20","F",5214
"872",1970,2,"20","M",5330
"873",1970,2,"21","F",4556
"874",1970,2,"21","M",4758
"875",1970,2,"22","F",4458
